term,log odds,SE_log odds,95%CI_logodds,odds ratio,SE_OR,95%CI_oR,z,p
(Intercept),-0.1567695002215139,0.11580524780439627,"[-0.383744, 0.070205]",0.8549010906209349,0.099002032647606,"[0.681306, 1.072728]",-1.3537339904173369,0.1758212598017057
pos_pre,0.10782739319208795,0.1257097196264675,"[-0.138559, 0.354214]",1.1138554697557936,0.14002245880740805,"[0.870612, 1.425060]",0.85774905482635,0.3910310463373388
grp_task,0.1123791233405914,0.06374131760150285,"[-0.012552, 0.237310]",1.1189369953718744,0.07132251839806998,"[0.987527, 1.267834]",1.7630498955663538,0.0778920746939184
grp_both,-0.20079107907259136,0.06256189201008687,"[-0.323410, -0.078172]",0.8180833284289439,0.05118084084842402,"[0.723677, 0.924805]",-3.209479007447821,0.0013297575642717474
factor(bin)2,0.12979905750228524,0.1377803814542153,"[-0.140246, 0.399844]",1.1385995672950102,0.156876682705511,"[0.869145, 1.491591]",0.9420721305334585,0.34615571190889555
factor(bin)3,0.09959404566457952,0.129173614919209,"[-0.153582, 0.352770]",1.1047223602032408,0.14270098074953314,"[0.857631, 1.423003]",0.7710092012743479,0.44070147771724466
factor(bin)4,0.18479928135288912,0.1342848226502768,"[-0.078394, 0.447993]",1.20297695598621,0.16154154718697805,"[0.924600, 1.565167]",1.3761739987114485,0.1687677699960295
factor(bin)5,0.21572350275026897,0.1331602903026373,"[-0.045266, 0.476713]",1.240759265043462,0.16521986392887428,"[0.955743, 1.610771]",1.6200287808023537,0.10522609458659231
pos_pre:grp_task,0.09953405103770024,0.10816807466099321,"[-0.112471, 0.311540]",1.1046560847855396,0.11948852185380268,"[0.893623, 1.365526]",0.9201795571350175,0.35747893533962194
pos_pre:grp_both,-0.06624555193404487,0.10988568340122147,"[-0.281618, 0.149126]",0.9359010237674205,0.10284212359258582,"[0.754562, 1.160820]",-0.6028588063848588,0.5466026219350666
pos_pre:factor(bin)2,0.011617072090119248,0.1547781762918199,"[-0.291743, 0.314977]",1.0116848123323783,0.15658673023493758,"[0.746961, 1.370227]",0.07505626677120382,0.9401699436887374
pos_pre:factor(bin)3,-0.2093082776266908,0.14538592645925694,"[-0.494259, 0.075643]",0.8111451391974092,0.11792908755513826,"[0.610022, 1.078577]",-1.4396735827476912,0.14995977072085873
pos_pre:factor(bin)4,-0.07779702670730926,0.14956476010325456,"[-0.370939, 0.215345]",0.9251521886735209,0.13837016515795605,"[0.690086, 1.240289]",-0.5201561293823542,0.602954759670104
pos_pre:factor(bin)5,-0.09048007403095593,0.1513984444950338,"[-0.387216, 0.206255]",0.9134925359435988,0.13830134899968463,"[0.678945, 1.229067]",-0.5976288219653662,0.5500876283992255
