correction,contrast,condition,estimate,SE,df,z.ratio,p.value,cohen's d
tukey,mid - pre,Item-Only,0.06094205111854934,0.09595994277748533,Inf,0.635078026879023,0.8007746995399332,0.635078026879023
tukey,mid - post,Item-Only,0.02479922093963861,0.09607735365657914,Inf,0.2581172357044872,0.9639394009192835,0.2581172357044872
tukey,pre - post,Item-Only,-0.036142830178910734,0.09580172084798039,Inf,-0.3772670246316632,0.9245507780384185,-0.3772670246316632
tukey,mid - pre,Task-Only,-0.10272985215166136,0.09786441258818104,Inf,-1.0497161269843243,0.545465214003701,-1.0497161269843243
tukey,mid - post,Task-Only,0.19929754157130758,0.0964063430120648,Inf,2.0672658597408518,0.09671057577776465,2.0672658597408518
tukey,pre - post,Task-Only,0.30202739372296894,0.09716398733244062,Inf,3.1084293884482195,0.005343277382743539,3.1084293884482195
tukey,mid - pre,Both,0.05236140802459083,0.10216082289736314,Inf,0.512539019749246,0.8652369423411729,0.512539019749246
tukey,mid - post,Both,0.3231308772888363,0.10085515985136206,Inf,3.203910219021604,0.0038761530734527927,3.203910219021604
tukey,pre - post,Both,0.2707694692642455,0.10030791401125154,Inf,2.69938291443159,0.019038474740305178,2.69938291443159
bonferroni,Post-Mid,Item-Only,-0.02479922093963861,0.09607735365657914,Inf,-0.2581172357044872,0.7963164300143738,-0.2581172357044872
bonferroni,Post-Mid,Task-Only,-0.19929754157130758,0.0964063430120648,Inf,-2.0672658597408518,0.03870910935684431,-2.0672658597408518
bonferroni,Post-Mid,Both,-0.3231308772888363,0.10085515985136206,Inf,-3.203910219021604,0.001355747471064406,-3.203910219021604
